,location,content_recommendation
0,1,"[2, 29, 44, 31, 32, 64, 19, 49, 51, 23, 17, 5, 41, 6, 62, 14, 1, 27, 13, 11, 66, 33, 40, 65, 67, 8, 18, 54, 63, 28, 9, 12, 7, 68, 61, 75, 50, 10, 38, 24, 37, 26, 43, 25, 35, 73, 42, 47, 76, 59, 39, 21, 48, 72, 36]"
1,2,"[2, 49, 44, 19, 11, 41, 57, 18, 1, 28, 32, 75, 3, 58, 36, 16, 5, 55, 34, 33, 13, 4, 56, 77]"
2,3,"[2, 49, 42, 47, 75, 51, 21, 20, 35, 41, 18, 1, 11, 48, 33, 19, 76, 40, 45, 46]"
3,4,"[49, 41, 13, 2, 17, 16, 23, 75, 35, 57, 25]"
4,5,"[47, 48, 75, 19, 23, 74]"
5,6,"[2, 29, 25, 13, 60, 17, 70, 19, 14, 8, 24, 41, 16, 1, 23, 53, 21, 36, 47, 7, 71, 3, 31, 15, 35, 11, 49, 20, 44, 33, 5, 76, 75, 30, 51, 55, 52, 69, 32, 18]"
6,7,"[23, 24, 5]"
