,user_number,title,content number,genre,loc,Weekdays/Weekends,Gender,Profession,Age,age,event,view,time,device,section,CP,watch time ( candle ),t-gap
54,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,61.0,1
55,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,57.5,1
56,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,57.5,1
57,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,71.0,1
58,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,53.5,1
59,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,53.5,1
60,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,64.0,1
61,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,52.0,1
62,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,52.0,1
63,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,16.0,1
64,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,56.0,1
65,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,52.0,1
66,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,52.0,1
67,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,80.0,1
68,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,57.0,1
69,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,63.0,1
70,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,80.0,1
71,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,41.0,1
72,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,56.0,1
73,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,61.0,1
74,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,61.0,1
75,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,55.0,1
76,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,67.0,1
77,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,60.0,1
78,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,60.0,1
79,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,73.0,1
80,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,40.0,1
81,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,61.0,1
82,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,61.0,1
83,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,52.5,1
84,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,52.5,1
85,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,16.0,1
86,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,64.0,1
87,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,73.0,1
88,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,72.0,1
89,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,53.0,1
90,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,53.0,1
91,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,42.0,1
92,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,64.0,1
93,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,57.0,1
94,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,59.5,1
95,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,59.5,1
96,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,65.0,1
97,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,63.0,1
98,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,81.0,1
99,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,48.5,1
100,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,15,1,1,1,48.5,1
101,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",2,1,2,1,25,1,1,1,10,1,5,5,0.0,3131
102,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",2,1,2,1,25,1,0,1,10,1,5,5,60.0,3131
103,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",2,1,2,1,25,1,0,1,11,1,5,5,59.0,3131
104,1, game of thrones season 3,5," 19, SF, SF fantasy , mid , fantasy",2,1,2,1,25,1,0,1,11,1,5,5,61.0,3131
105,1, dogs are great,103, Pets,2,1,2,1,25,1,1,1,11,1,1,1,0.0,1
106,1, dogs are great,103, Pets,2,1,2,1,25,1,0,1,11,1,1,1,70.0,1
107,1, dogs are great,103, Pets,2,1,2,1,25,1,0,1,11,1,1,1,54.0,1
108,1, dogs are great,103, Pets,2,1,2,1,25,1,0,1,11,1,1,1,55.0,1
109,1, dogs are great,103, Pets,2,1,2,1,25,1,0,1,11,1,1,1,61.0,1
110,1, dogs are great,103, Pets,2,1,2,1,25,1,1,2,11,1,1,1,0.0,1
