,user_id,content_id,loc,weekdays/weekends,gender,profession,age,age_category,event,view,time,device,section,cp,watch_time,t_gap,documentary,quiz,contest,audition,history,news,sports,drama,romantic relationship,reality,sitcom,action,talk,family,comedy,sf fantasy,sf,mid,adventure,romance,trip,game,fantasy,mini series,horror,crime,mystery
0,1,1,1,1,2,1,25,1,1,1,1,3,5,5,0.0,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
1,1,1,1,1,2,1,25,1,0,1,1,3,5,5,62.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
2,1,1,1,1,2,1,25,1,0,1,1,3,5,5,62.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
3,1,1,1,1,2,1,25,1,0,1,1,3,5,5,49.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
4,1,1,1,1,2,1,25,1,0,1,1,3,5,5,49.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
5,1,1,1,1,2,1,25,1,0,1,1,3,5,5,63.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
6,1,1,1,1,2,1,25,1,0,1,1,3,5,5,63.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
7,1,1,1,1,2,1,25,1,0,1,1,3,5,5,74.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
8,1,1,1,1,2,1,25,1,0,1,1,3,5,5,74.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
9,1,1,1,1,2,1,25,1,1,3,1,3,5,5,0.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
10,1,1,1,1,2,1,25,1,0,3,1,3,5,5,64.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
11,1,1,1,1,2,1,25,1,0,3,1,3,5,5,64.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
12,1,1,1,1,2,1,25,1,1,3,1,1,5,5,0.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
13,1,1,1,1,2,1,25,1,0,3,1,1,5,5,52.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
14,1,1,1,1,2,1,25,1,0,3,1,1,5,5,52.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
15,1,1,1,1,2,1,25,1,0,3,1,1,5,5,61.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
16,1,1,1,1,2,1,25,1,0,3,1,1,5,5,61.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
17,1,2,1,1,2,1,25,1,1,1,11,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
18,1,2,1,1,2,1,25,1,0,1,11,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
19,1,2,1,1,2,1,25,1,0,1,11,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
20,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
21,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
22,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
23,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
24,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
26,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
27,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
28,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29,1,2,1,1,2,1,25,1,1,2,14,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
30,1,2,1,1,2,1,25,1,0,2,14,1,1,1,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
